Id,Postcode,Latitude,Longitude
527,CT16 1DH,51.128095,1.311512
528,SR8 2HU,54.755746,-1.361025
529,SR8 2RN,54.764091,-1.348711
530,NR31 0ED,52.597497,1.721459
531,NR32 2NB,52.482373,1.743636
532,NE8 3BE,54.966557,-1.598114
533,TW5 0QR,51.483922,-0.369411
534,SK13 2DA,53.456511,-1.970775
535,NG31 9AP,52.912718,-0.63534
536,SY8 1GD,52.367487,-2.721487
537,HR2 6LL,52.017525,-2.654362
538,HR1 1LS,52.061747,-2.697295
539,SY11 4QB,52.853995,-3.038071
540,HR1 1LT,52.060873,-2.697601
541,TR13 8NR,50.106927,-5.273505
542,WR1 2JF,52.190053,-2.222171
543,B60 1PQ,52.337562,-2.049997
544,B98 8DW,52.30754,-1.938376
545,CV1 3BA,52.408279,-1.516935
546,CV6 2BT,52.429523,-1.534969
547,CV22 6NU,52.337176,-1.289206
548,CV21 2TP,52.373196,-1.259268
549,CV21 2PS,52.374533,-1.260303
550,CV21 3EN,52.3728,-1.257744
551,LE2 7AR,52.629886,-1.133802
552,CV1 1DL,52.407177,-1.513434
553,B4 7LJ,52.481417,-1.894646
554,ST6 4JH,53.046211,-2.196482
555,RM11 3TB,51.560589,0.232704
556,RM11 2LL,51.581596,0.22125
557,RM13 8GP,51.52035,0.184609
558,RM3 9ES,51.61297,0.229917
559,PO7 8AA,50.861598,-1.021127
560,HA3 6NR,51.605896,-0.356149
561,GL19 3BE,51.904913,-2.310281
562,TS24 7NT,54.684251,-1.210669
563,CM20 3EZ,51.76932,0.098238
564,CM24 1AR,51.876653,0.216061
565,N17 0XL,51.606276,-0.057806
566,B63 3NT,52.453529,-2.045229
567,B63 3NA,52.457161,-2.051979
568,TN11 0AL,51.225228,0.328911
569,GU9 8LU,51.208088,-0.793071
570,GU3 3PE,51.272311,-0.622042
571,GU1 1EZ,51.246075,-0.569872
572,M1 5JW,53.474934,-2.243763
573,BN14 8HJ,50.824944,-0.375465
574,BN1 4FA,50.828269,-0.136979
575,BN12 6NU,50.82311,-0.431994
576,BN43 5FF,50.833363,-0.291173
577,BN2 5PB,50.824225,-0.101444
578,GL14 2YT,51.835252,-2.510924
579,GL2 5JQ,51.862048,-2.256534
580,GL51 7SJ,51.901613,-2.11819
581,GL14 3FF,51.835925,-2.517014
582,YO23 2BB,53.929705,-1.113609
583,AB35 5YJ,56.991655,-3.488778
584,CV1 2WT,52.400997,-1.508122
